date,currency,type,rate
2016-10-30,EUR,Black Market,182.5
2016-10-31,EUR,Black Market,182.5
2016-10-31,EUR,Official,120.531
2016-11-01,EUR,Black Market,182.5
2016-11-01,EUR,Official,120.7666
2016-11-02,EUR,Black Market,182.5
2016-11-02,EUR,Official,121.7918
2016-11-03,EUR,Black Market,182.5
2016-11-03,EUR,Official,121.9094
2016-11-04,EUR,Black Market,182.5
2016-11-04,EUR,Official,121.9582
2016-11-05,EUR,Black Market,182.5
2016-11-06,EUR,Black Market,182.5
2016-11-07,EUR,Black Market,182.5
2016-11-07,EUR,Official,121.641
2016-11-08,EUR,Black Market,182.5
2016-11-08,EUR,Official,121.6963
2016-11-09,EUR,Black Market,182.5
2016-11-09,EUR,Official,121.9746
2016-11-10,EUR,Black Market,182.5
2016-11-10,EUR,Official,120.8127
2016-11-11,EUR,Black Market,182.5
2016-11-11,EUR,Official,120.6065
2016-11-12,EUR,Black Market,182.5
2016-11-13,EUR,Black Market,182.5
2016-11-14,EUR,Black Market,182.5
2016-11-14,EUR,Official,119.9566
2016-11-15,EUR,Black Market,182.5
2016-11-15,EUR,Official,119.6572
2016-11-16,EUR,Black Market,182.5
2016-11-16,EUR,Official,119.0016
2016-11-17,EUR,Black Market,182.5
2016-11-17,EUR,Official,119.0201
2016-11-18,EUR,Black Market,182.5
2016-11-18,EUR,Official,118.1318
2016-11-19,EUR,Black Market,182.5
2016-11-20,EUR,Black Market,182.5
2016-11-21,EUR,Black Market,182.5
2016-11-21,EUR,Official,118.0584
2016-11-22,EUR,Black Market,182.5
2016-11-22,EUR,Official,117.9712
2016-11-23,EUR,Black Market,182.5
2016-11-23,EUR,Official,117.9908
2016-11-24,EUR,Black Market,182.5
2016-11-24,EUR,Official,117.1338
2016-11-25,EUR,Black Market,182.5
2016-11-25,EUR,Official,117.5763
2016-11-26,EUR,Black Market,182.5
2016-11-27,EUR,Black Market,182.5
2016-11-28,EUR,Black Market,183.5
2016-11-28,EUR,Official,117.9238
2016-11-29,EUR,Black Market,185.0
2016-11-29,EUR,Official,117.6203
2016-11-30,EUR,Black Market,186.0
2016-11-30,EUR,Official,117.7665
2016-12-01,EUR,Black Market,187.5
2016-12-01,EUR,Official,117.6966
2016-12-02,EUR,Black Market,187.5
2016-12-02,EUR,Official,117.9981
2016-12-03,EUR,Black Market,187.5
2016-12-04,EUR,Black Market,187.5
2016-12-05,EUR,Black Market,187.5
2016-12-05,EUR,Official,117.6207
2016-12-06,EUR,Black Market,187.5
2016-12-06,EUR,Official,118.6012
2016-12-07,EUR,Black Market,187.5
2016-12-07,EUR,Official,118.3229
2016-12-08,EUR,Black Market,187.5
2016-12-08,EUR,Official,118.6119
2016-12-09,EUR,Black Market,187.5
2016-12-09,EUR,Official,117.6199
2016-12-10,EUR,Black Market,187.5
2016-12-11,EUR,Black Market,187.5
2016-12-12,EUR,Black Market,187.5
2016-12-12,EUR,Official,117.3642
2016-12-13,EUR,Black Market,187.5
2016-12-13,EUR,Official,117.8103
2016-12-14,EUR,Black Market,187.5
2016-12-14,EUR,Official,117.8317
2016-12-15,EUR,Black Market,187.5
2016-12-15,EUR,Official,116.7893
2016-12-16,EUR,Black Market,187.5
2016-12-16,EUR,Official,116.2956
2016-12-17,EUR,Black Market,187.5
2016-12-18,EUR,Black Market,187.5
2016-12-19,EUR,Black Market,187.5
2016-12-19,EUR,Official,116.3924
2016-12-20,EUR,Black Market,187.5
2016-12-20,EUR,Official,115.8788
2016-12-21,EUR,Black Market,187.5
2016-12-21,EUR,Official,116.0532
2016-12-22,EUR,Black Market,187.5
2016-12-22,EUR,Official,116.2332
2016-12-23,EUR,Black Market,187.5
2016-12-23,EUR,Official,116.1511
2016-12-24,EUR,Black Market,187.5
2016-12-25,EUR,Black Market,187.5
2016-12-26,EUR,Black Market,187.5
2016-12-26,EUR,Official,116.2182
2016-12-27,EUR,Black Market,187.5
2016-12-27,EUR,Official,116.1166
2016-12-28,EUR,Black Market,187.5
2016-12-28,EUR,Official,115.9672
2016-12-29,EUR,Black Market,187.0
2016-12-29,EUR,Official,115.899
2016-12-30,EUR,Black Market,187.0
2016-12-30,EUR,Official,116.3743
2016-12-31,EUR,Black Market,187.0
2017-01-01,EUR,Black Market,187.0
2017-01-02,EUR,Black Market,187.0
2017-01-02,EUR,Official,116.2854
2017-01-03,EUR,Black Market,187.0
2017-01-03,EUR,Official,115.8952
2017-01-04,EUR,Black Market,187.0
2017-01-04,EUR,Official,115.6472
2017-01-05,EUR,Black Market,187.0
2017-01-05,EUR,Official,116.5416
2017-01-06,EUR,Black Market,187.0
2017-01-06,EUR,Official,116.7427
2017-01-07,EUR,Black Market,187.0
2017-01-08,EUR,Black Market,187.0
2017-01-09,EUR,Black Market,187.0
2017-01-09,EUR,Official,116.4198
2017-01-10,EUR,Black Market,187.0
2017-01-10,EUR,Official,116.8025
2017-01-11,EUR,Black Market,187.0
2017-01-11,EUR,Official,116.5278
2017-01-12,EUR,Black Market,187.0
2017-01-12,EUR,Official,117.0119
2017-01-13,EUR,Black Market,187.0
2017-01-13,EUR,Official,117.0525
2017-01-14,EUR,Black Market,187.0
2017-01-15,EUR,Black Market,187.0
2017-01-16,EUR,Black Market,187.0
2017-01-16,EUR,Official,116.8778
2017-01-17,EUR,Black Market,187.0
2017-01-17,EUR,Official,117.1993
2017-01-18,EUR,Black Market,187.0
2017-01-18,EUR,Official,117.2517
2017-01-19,EUR,Black Market,187.0
2017-01-19,EUR,Official,117.0648
2017-01-20,EUR,Black Market,187.0
2017-01-20,EUR,Official,117.3193
2017-01-21,EUR,Black Market,187.0
2017-01-22,EUR,Black Market,187.0
2017-01-23,EUR,Black Market,187.0
2017-01-23,EUR,Official,117.6064
2017-01-24,EUR,Black Market,187.0
2017-01-24,EUR,Official,117.7212
